% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.27    0.021298        7099         3           wait4
  1.48    0.000339           7        48        30 access
  1.48    0.000337           7        49        17 stat
  0.90    0.000206          11        19        12 openat
  0.83    0.000189           8        24           lstat
  0.48    0.000110          37         3           vfork
  0.44    0.000101          34         3           unlink
  0.29    0.000067           8         8           readlink
  0.20    0.000046          15         3           getpid
  0.19    0.000043           5         9           rt_sigaction
  0.13    0.000029           4         7           close
  0.08    0.000019           6         3           read
  0.08    0.000018           6         3           ioctl
  0.07    0.000015           8         2           getcwd
  0.05    0.000011           6         2           prlimit64
  0.04    0.000008           2         4           fstat
  0.00    0.000000           0         6           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.022836                   207        59 total
